region_name,count,dop_count,aop_count,median_dolp_abs,p95_dolp_abs,median_aop_deg,p95_aop_deg,mean_signed_dolp_bias,mean_first_frac,mean_second_frac,mean_higher_frac,mean_second_rr_frac,mean_second_ar_frac,mean_second_ra_frac,mean_second_aa_frac,mean_normalized_reference,mean_normalized_model,max_dolp_abs,max_dolp_zenith_deg,max_dolp_relative_azimuth_deg
solar_vertical_midzen,54,54,54,2.7755575615628914e-17,1.1102230246251565e-16,0.0,1.4210854715202004e-14,-3.0839528461809902e-18,0.40166176942500004,0.5919014819585185,0.006436748616342223,0.6827628653761111,0.22136302604403704,0.07713207081383333,0.018742037765438892,0.06298367942279018,0.06298367942279018,1.1102230246251565e-16,30.874387,245.013084
solar_vertical_lowelev,24,24,24,5.551115123125783e-17,1.1102230246251565e-16,0.0,1.4210854715202004e-14,-2.312964634635743e-17,0.14556565494616291,0.8361246200770833,0.01830972497743333,0.6146520536920833,0.21145870611079165,0.14159633157433335,0.0322929086235875,0.09690416375294268,0.09690416375294268,1.1102230246251565e-16,78.217805,245.001316
antisolar_midzen,54,54,20,0.0,2.7755575615628914e-17,5.329070518200751e-15,1.199040866595169e-14,-9.958597732459448e-19,0.5404300450803704,0.4532882145498148,0.006281740368728889,0.6305783784929629,0.20316168062642592,0.12484957611075925,0.041410364769611116,0.12943607319495187,0.12943607319495187,5.551115123125783e-17,30.816987,24.801132
bright_horizon_arc,15,15,0,0.0,6.938893903907228e-18,nan,nan,1.8503717077085942e-18,0.5711319284426667,0.40077420076066667,0.02809387079584667,0.505989316494,0.23405589155973333,0.18339532304880002,0.07655946889853334,0.4838450113090598,0.4838450113090598,1.3877787807814457e-17,78.189566,344.989503
near_zenith,179,179,179,5.551115123125783e-17,1.1102230246251565e-16,1.7763568394002505e-15,1.4210854715202004e-14,-6.202363266062327e-18,0.47148241879798886,0.5255463799368715,0.0029712012656523353,0.6695039363139106,0.23280755417252516,0.07984482240522904,0.01784368710863687,0.03505805376490987,0.03505805376490987,2.220446049250313e-16,16.777929,115.14533
aop_flip_relaz_45_sector,51,51,51,5.551115123125783e-17,1.1102230246251565e-16,2.220446049250313e-15,7.105427357601002e-15,6.530723674265627e-18,0.5611017453854902,0.43306536471117646,0.005832889904072157,0.6601301366696078,0.17978816563680394,0.1215430043687451,0.03853869332456863,0.06141936019446611,0.06141936019446611,1.1102230246251565e-16,7.252809,34.939569
aop_flip_relaz_215_sector,51,51,51,5.551115123125783e-17,1.1102230246251565e-16,3.552713678800501e-15,7.105427357601002e-15,-3.2653618371328133e-18,0.34657585954892217,0.6453389380619607,0.008085202388887647,0.6903104337852941,0.24142606948413728,0.05776923704511765,0.01049425968519804,0.044777677899614586,0.044777677899614586,2.220446049250313e-16,21.407074,215.014276
