zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg
7.471421,344.834186,8.877333e+02,3.684490e+02,1.059899e+02,0.431876,8.024340
7.342331,354.694203,8.762667e+02,3.648341e+02,3.722011e+01,0.418512,2.912560
12.033837,5.009220,9.259200e+02,3.203419e+02,-6.636829e+01,0.353319,-5.852459
11.886921,14.748477,9.107200e+02,2.999330e+02,-1.926555e+02,0.391423,-16.356892
11.969414,24.838740,8.800000e+02,1.890841e+02,-2.613823e+02,0.366596,-27.058999
11.940608,35.008722,8.532800e+02,1.155952e+02,-3.560840e+02,0.438750,-36.007530
12.087003,44.927017,8.206400e+02,-2.189735e+01,-3.831713e+02,0.467680,-46.635382
11.994303,54.909709,8.133333e+02,-1.604711e+02,-3.171937e+02,0.437060,-58.417624
12.108702,65.099398,7.858824e+02,-2.649485e+02,-2.754292e+02,0.486303,-66.944440
11.945427,75.021699,7.670400e+02,-3.389256e+02,-1.709300e+02,0.494875,-76.618432
12.010762,85.001512,7.436735e+02,-3.773149e+02,-3.648580e+01,0.509733,-87.238377
12.044441,94.898256,7.254400e+02,-3.632390e+02,7.377950e+01,0.510940,84.259264
12.113027,104.895774,7.212308e+02,-3.040169e+02,2.158330e+02,0.516951,72.313814
11.924596,114.893586,7.318462e+02,-2.003522e+02,3.115220e+02,0.506100,61.373341
11.973026,124.972469,6.952000e+02,-6.438023e+01,3.661979e+02,0.534830,49.985557
12.078166,134.944986,7.018039e+02,6.394899e+01,3.661028e+02,0.529558,40.045913
12.007323,145.005619,7.080816e+02,2.076077e+02,3.379429e+02,0.560131,29.218221
12.070096,155.014491,6.851765e+02,2.773181e+02,2.702211e+02,0.565112,22.128696
12.039014,164.959744,7.116800e+02,3.724282e+02,1.338987e+02,0.556103,9.887489
11.935270,174.948521,7.234510e+02,3.890963e+02,-3.046930e+01,0.539480,-2.238786
11.993738,185.052600,7.145098e+02,3.420598e+02,-1.380714e+02,0.516263,-10.990662
11.971274,195.142688,7.186154e+02,2.778264e+02,-2.572981e+02,0.526942,-21.401554
11.938681,205.289387,7.130000e+02,1.900970e+02,-3.340637e+02,0.539079,-30.179108
12.056895,214.928691,7.224000e+02,4.590163e+01,-3.538758e+02,0.493965,-41.304682
11.954323,225.007403,7.386667e+02,-8.851450e+01,-3.605856e+02,0.502650,-51.895967
12.020620,235.044264,7.622400e+02,-1.995661e+02,-3.015550e+02,0.474405,-61.748098
11.933567,244.991921,7.564082e+02,-2.982044e+02,-2.166320e+02,0.487284,-72.001649
12.009306,255.008760,7.686275e+02,-3.574549e+02,-1.027759e+02,0.483897,-81.979465
11.936833,265.199973,8.026667e+02,-3.469224e+02,2.338739e+01,0.433193,88.071652
12.003083,275.133354,8.426122e+02,-3.322361e+02,1.520900e+02,0.433643,77.701399
11.995859,284.420666,8.838182e+02,-2.571702e+02,2.317202e+02,0.391671,68.989969
12.009188,294.661801,8.887692e+02,-1.510759e+02,3.072038e+02,0.385187,58.093458
12.002696,304.898739,9.024314e+02,-2.356047e+01,3.400358e+02,0.377703,46.981793
11.924862,314.958485,9.281600e+02,8.116286e+01,3.582807e+02,0.395793,38.617986
12.045527,325.008086,9.429020e+02,1.704018e+02,2.789986e+02,0.346717,29.292497
11.969554,335.134900,9.483200e+02,2.484746e+02,2.276871e+02,0.355384,21.250132
12.028453,345.127278,9.707755e+02,2.990762e+02,1.294399e+02,0.335696,11.701461
11.954820,355.055306,9.344000e+02,3.385120e+02,6.801520e+01,0.369518,5.680416
16.681388,4.825980,1.023768e+03,3.396717e+02,-8.598616e+01,0.342252,-7.102853
16.690346,14.746792,9.892571e+02,3.012433e+02,-1.545203e+02,0.342238,-13.577590
16.718102,24.745217,9.487568e+02,2.369255e+02,-2.584100e+02,0.369520,-23.741784
16.690550,34.933928,9.089577e+02,1.336741e+02,-3.221245e+02,0.383691,-33.731348
16.742035,45.009938,8.828889e+02,1.207856e+01,-3.581584e+02,0.405897,-44.034242
16.674523,55.123807,8.296000e+02,-1.117716e+02,-3.441202e+02,0.436134,-53.997003
16.748421,64.962075,8.002319e+02,-2.330395e+02,-2.848245e+02,0.459881,-64.644779
16.688781,74.907872,7.755556e+02,-3.444682e+02,-1.812233e+02,0.501873,-76.125660
16.687992,84.920613,7.539155e+02,-3.993426e+02,-6.416600e+01,0.536486,-85.435895
16.687067,95.007426,7.407778e+02,-3.967998e+02,9.020118e+01,0.549319,83.596534
16.751756,105.365641,7.202162e+02,-3.151389e+02,2.291823e+02,0.541036,71.986883
16.777929,115.145330,7.035224e+02,-2.257363e+02,3.168667e+02,0.553006,62.733062
16.669374,124.956588,7.042254e+02,-6.759651e+01,3.797258e+02,0.547688,50.046858
16.723874,135.087373,7.150423e+02,6.699028e+01,3.827335e+02,0.543397,40.036011
16.680578,145.000584,6.909714e+02,1.880840e+02,3.262811e+02,0.545044,30.019400
16.685572,154.994874,6.811268e+02,2.877138e+02,2.514342e+02,0.560978,20.575163
16.737298,165.075900,6.971429e+02,3.626536e+02,1.408116e+02,0.558037,10.610131
16.679514,174.901879,7.071304e+02,3.921033e+02,-5.035241e+00,0.554545,-0.367865
16.688560,184.825630,7.080563e+02,3.489527e+02,-1.632823e+02,0.544116,-12.537944
16.665952,194.993920,7.093333e+02,2.883126e+02,-2.644956e+02,0.551584,-21.266507
16.695656,204.925435,7.206761e+02,1.798522e+02,-3.658950e+02,0.565730,-31.912005
16.726825,215.007886,7.282254e+02,3.571833e+01,-3.994007e+02,0.550646,-42.444821
