wavelength_nm,angle_deg,f11,f12,f22,f33,f34,f44
351.0,180.0,0.19244625122972384,0.0,0.19244625122972384,-0.19244625122972384,-0.0,-0.19244625122972384
351.0,178.44041384236152,0.19159881292009603,0.0007475650986777349,0.19159881292009603,-0.19159140543236694,-6.209583368529934e-05,-0.19159140543236694
351.0,177.79434400294244,0.1907707114856636,0.00148474088878139,0.1907707114856636,-0.19074149404316013,-0.00011164533838414929,-0.19074149404316013
351.0,177.29855070900115,0.18996150880980098,0.0022116302883690092,0.18996150880980098,-0.18989648150595828,-0.00014897965324985968,-0.18989648150595828
351.0,176.88053870746052,0.18917079784219162,0.0029283234602818053,0.18917079784219162,-0.18905633816264697,-0.00017440993528139385,-0.18905633816264697
351.0,176.5122285169543,0.18839790071173138,0.0036350679069409777,0.18839790071173138,-0.1882209586854973,-0.00018842022490252864,-0.1882209586854973
351.0,176.17921973310231,0.18764253669070616,0.00433189515247516,0.18764253669070616,-0.18739034088389192,-0.00019123920606590073,-0.18739034088389192
351.0,175.87295812538943,0.18690416433178103,0.00501898925032603,0.18690416433178103,-0.18656440914420366,-0.00018326138371546884,-0.18656440914420366
351.0,175.58787031379995,0.18618223519636662,0.00569654648306031,0.18618223519636662,-0.18574308146030313,-0.00016488370893388385,-0.18574308146030313
351.0,175.32008513577324,0.18547659775149267,0.00636453633097723,0.18547659775149267,-0.18492638533484496,-0.0001362519882463848,-0.18492638533484496
351.0,175.0667841087341,0.18478671597005977,0.0070231564996838846,0.18478671597005977,-0.18411423792636078,-9.775427044197834e-05,-0.18411423792636078
351.0,174.8258395717241,0.18413186922939542,0.007660389542518713,0.18413186922939542,-0.183312537205961,-3.756809008093913e-05,-0.183312537205961
351.0,174.5955985947607,0.18348688422574627,0.008291567568825896,0.18348688422574627,-0.18251379810393417,2.870699849612799e-05,-0.18251379810393417
351.0,174.3747467298283,0.18284189922209693,0.00892274559513327,0.18284189922209693,-0.1817150590019071,9.498208707321496e-05,-0.1817150590019071
351.0,174.16221826025136,0.18219691421844778,0.009553923621440454,0.18219691421844778,-0.18091631989988025,0.00016125717565028207,-0.18091631989988025
351.0,173.95713490961248,0.18156601383236062,0.010176095281361161,0.18156601383236062,-0.18012203099277493,0.00023605421694120597,-0.18012203099277493
351.0,173.75876270101506,0.18098751069006752,0.010764761681151574,0.18098751069006752,-0.17934429759008474,0.0003425544146709611,-0.17934429759008474
351.0,173.56648080010214,0.18040900754777422,0.011353428080942163,0.18040900754777422,-0.17856656418739436,0.00044905461240074817,-0.17856656418739436
351.0,173.37975850818358,0.1798305044054811,0.011942094480732576,0.1798305044054811,-0.17778883078470417,0.0005555548101305034,-0.17778883078470417
351.0,173.1981379420391,0.17925200126318797,0.012530760880522988,0.17925200126318797,-0.177011097382014,0.0006620550078602585,-0.177011097382014
351.0,173.02122077137227,0.17867349812089467,0.013119427280313576,0.17867349812089467,-0.1762333639793236,0.0007685552055900456,-0.1762333639793236
351.0,172.84865790924576,0.17815457773729634,0.013667512434288681,0.17815457773729634,-0.17547602815937977,0.0009098031609808688,-0.17547602815937977
351.0,172.68014138957548,0.1776439105194811,0.01420997643615978,0.1776439105194811,-0.17472151773113767,0.001055864236993346,-0.17472151773113767
351.0,172.5153978900223,0.1771332433016659,0.014752440438030878,0.1771332433016659,-0.17396700730289555,0.001201925313005823,-0.17396700730289555
351.0,172.35418351036424,0.17662257608385054,0.015294904439902137,0.17662257608385054,-0.1732124968746532,0.001347986389018344,-0.1732124968746532
351.0,172.19627952114382,0.1761119088660353,0.015837368441773237,0.1761119088660353,-0.1724579864464111,0.0014940474650308212,-0.1724579864464111
351.0,172.04148887093004,0.1756012416482201,0.016379832443644333,0.1756012416482201,-0.171703476018169,0.0016401085410432984,-0.171703476018169
351.0,171.88963329303093,0.17513907451782307,0.016886814363086956,0.17513907451782307,-0.17096719179422448,0.001813040388945391,-0.17096719179422448
351.0,171.74055089051356,0.1746949687260131,0.01738058282377863,0.1746949687260131,-0.17023769497344793,0.001995978860237677,-0.17023769497344793
351.0,171.5940941062988,0.1742508629342031,0.017874351284470305,0.1742508629342031,-0.16950819815267137,0.002178917331529963,-0.16950819815267137
351.0,171.4501280058456,0.17380675714239313,0.01836811974516198,0.17380675714239313,-0.16877870133189482,0.002361855802822249,-0.16877870133189482
351.0,171.30852881553093,0.173362651350583,0.0188618882058538,0.173362651350583,-0.16804920451111804,0.00254479427411459,-0.16804920451111804
351.0,171.16918267168,0.172918545558773,0.019355656666545474,0.172918545558773,-0.16731970769034146,0.002727732745406876,-0.16731970769034146
351.0,171.0319845442886,0.17247443976696303,0.019849425127237145,0.17247443976696303,-0.1665902108695649,0.002910671216699162,-0.1665902108695649
