zenith_deg,relative_azimuth_deg,dop
15.0,0.0,0.4901960784313726
15.0,30.0,0.5529411764705883
15.0,60.0,0.584313725490196
15.0,90.0,0.6196078431372549
15.0,120.0,0.615686274509804
15.0,150.0,0.584313725490196
15.0,180.0,0.5647058823529412
15.0,210.0,0.584313725490196
15.0,240.0,0.615686274509804
15.0,270.0,0.6235294117647059
15.0,300.0,0.592156862745098
15.0,330.0,0.5333333333333333
30.0,0.0,0.2666666666666667
30.0,30.0,0.35686274509803917
30.0,60.0,0.5254901960784314
30.0,90.0,0.6274509803921569
30.0,120.0,0.5764705882352941
30.0,150.0,0.44705882352941173
30.0,180.0,0.37254901960784315
30.0,210.0,0.4549019607843138
30.0,240.0,0.5764705882352941
30.0,270.0,0.6352941176470588
30.0,300.0,0.5254901960784314
30.0,330.0,0.36078431372549025
45.0,0.0,0.0862745098039216
45.0,30.0,0.20392156862745103
45.0,60.0,0.4392156862745098
45.0,90.0,0.6235294117647059
45.0,120.0,0.5411764705882354
45.0,150.0,0.30980392156862746
45.0,180.0,0.15294117647058825
45.0,210.0,0.27450980392156865
45.0,240.0,0.5019607843137255
45.0,270.0,0.6313725490196078
45.0,300.0,0.44705882352941173
45.0,330.0,0.19215686274509802
60.0,0.0,0.07843137254901966
60.0,30.0,0.1215686274509804
60.0,60.0,0.3686274509803922
60.0,90.0,0.592156862745098
60.0,120.0,0.5019607843137255
60.0,150.0,0.17647058823529416
60.0,180.0,0.019607843137254943
60.0,210.0,0.13725490196078427
60.0,240.0,0.41960784313725485
60.0,270.0,0.607843137254902
60.0,300.0,0.4
60.0,330.0,0.10196078431372546
75.0,0.0,0.05490196078431375
75.0,30.0,0.05490196078431375
75.0,60.0,0.35686274509803917
75.0,90.0,0.5372549019607843
75.0,120.0,0.44705882352941173
75.0,150.0,0.1215686274509804
75.0,180.0,0.050980392156862786
75.0,210.0,0.10196078431372546
75.0,240.0,0.3686274509803922
75.0,270.0,0.5294117647058824
75.0,300.0,0.33725490196078434
75.0,330.0,0.0
